epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,360.296,2.63188,13.7051,3.68723,0.41208,0.14523,0.09651,0.03498,2.71469,11.1251,3.6185,9.99647e-06,9.99647e-06,0.00951017
2,681.385,2.18799,10.1745,3.22721,0.55649,0.17154,0.14553,0.05312,2.52086,10.548,3.49309,1.99959e-05,1.99959e-05,0.00902017
3,980.492,2.05854,9.24964,3.10785,0.58899,0.1615,0.20652,0.08884,2.48698,11.6117,3.48063,2.99932e-05,2.99932e-05,0.00853017
4,1275.48,1.97559,8.70277,3.01073,0.54334,0.23919,0.21423,0.08359,2.46194,9.16319,3.47348,3.99867e-05,3.99867e-05,0.00804016
5,1577.61,1.96515,8.60078,2.99674,0.48413,0.28085,0.25356,0.09999,2.37613,10.2625,3.44569,4.99748e-05,4.99748e-05,0.00755015
6,1877.38,1.90203,8.29118,2.9275,0.58425,0.24121,0.25451,0.09974,2.38205,10.4915,3.44743,5.99558e-05,5.99558e-05,0.00706013
7,2175.56,1.86305,7.95481,2.86809,0.53421,0.32406,0.27442,0.10801,2.38535,11.6191,3.48559,6.99281e-05,6.99281e-05,0.0065701
8,2472.83,1.84944,7.81308,2.85605,0.53652,0.25884,0.24976,0.09516,2.35556,8.84008,3.45194,7.98901e-05,7.98901e-05,0.00608007
9,2770.28,1.81316,7.61564,2.79753,0.51618,0.33096,0.2588,0.10208,2.34063,10.106,3.45958,8.98402e-05,8.98402e-05,0.00559002
10,3059.15,1.81533,7.43399,2.79959,0.58893,0.30521,0.26595,0.10823,2.34594,15.9881,3.53137,9.97768e-05,9.97768e-05,0.00509995
11,3341.35,1.81498,7.31865,2.7997,0.55559,0.29712,0.28336,0.11554,2.31953,12.0632,3.46007,0.000109698,0.000109698,0.00460987
12,3624.25,1.78274,7.2451,2.7553,0.62966,0.29961,0.30153,0.12239,2.27711,10.612,3.45186,0.000119603,0.000119603,0.00411978
13,3906.05,1.75149,7.124,2.72587,0.60857,0.3656,0.30641,0.12735,2.3287,12.5926,3.52797,0.000129489,0.000129489,0.00362967
14,4188.34,1.75513,7.10925,2.71561,0.67805,0.32441,0.31983,0.13452,2.30222,10.6749,3.4841,0.000139355,0.000139355,0.00313953
15,4470.5,1.74261,6.89818,2.71176,0.56473,0.36199,0.30372,0.12777,2.30601,13.3981,3.50078,0.0001492,0.0001492,0.00264938
16,4751.68,1.73035,6.86068,2.68464,0.62051,0.35233,0.3167,0.13442,2.26154,12.9917,3.43752,0.000159021,0.000159021,0.0021592
17,5033.21,1.73515,6.88879,2.7016,0.68856,0.35775,0.33846,0.14397,2.28205,13.092,3.53786,0.000168818,0.000168818,0.00166899
18,5314.73,1.71853,6.66371,2.67453,0.59411,0.38547,0.30864,0.13122,2.27087,12.7914,3.61984,0.000178588,0.000178588,0.00117876
19,5594.99,1.71878,6.71329,2.66555,0.61334,0.36662,0.33514,0.14749,2.23597,12.8094,3.511,0.000188331,0.000188331,0.000688507
20,5875.14,1.6977,6.64905,2.65912,0.63684,0.34405,0.33119,0.14039,2.25742,18.8508,3.56109,0.000198043,0.000198043,0.00019822
21,6155.26,1.69785,6.50566,2.64907,0.68108,0.33685,0.30921,0.14213,2.25275,16.5771,3.49178,0.000197837,0.000197837,0.000197837
22,6436.11,1.68489,6.33892,2.62471,0.67569,0.34568,0.32706,0.13775,2.23393,15.2553,3.55953,0.000197616,0.000197616,0.000197616
23,6716.19,1.66824,6.27718,2.60604,0.61482,0.3703,0.33266,0.13642,2.27457,12.232,3.61759,0.000197384,0.000197384,0.000197384
24,6996.52,1.66355,6.18361,2.59475,0.6743,0.31174,0.33812,0.14408,2.25586,15.1267,3.6095,0.000197142,0.000197142,0.000197142
25,7276.61,1.64857,5.96856,2.57046,0.58027,0.33318,0.3292,0.1483,2.26497,13.8534,3.6246,0.00019689,0.00019689,0.00019689
26,7556.55,1.62124,6.09198,2.54084,0.63422,0.35172,0.31077,0.12889,2.26819,11.6203,3.63507,0.000196627,0.000196627,0.000196627
27,7843.97,1.61822,5.86204,2.54895,0.63655,0.36802,0.34828,0.1479,2.24664,12.2632,3.59283,0.000196353,0.000196353,0.000196353
28,8151.05,1.62434,5.86694,2.55112,0.62635,0.3871,0.35421,0.1565,2.24865,11.5243,3.69171,0.000196069,0.000196069,0.000196069
29,8435.65,1.60164,5.73883,2.54395,0.57787,0.39966,0.35046,0.15279,2.2705,9.62502,3.72267,0.000195775,0.000195775,0.000195775
30,8719.67,1.60696,5.75752,2.51278,0.70915,0.37215,0.37817,0.16889,2.22798,10.3397,3.62392,0.00019547,0.00019547,0.00019547
31,9000.9,1.59785,5.65778,2.50488,0.53756,0.38572,0.36006,0.15276,2.253,9.84199,3.71817,0.000195155,0.000195155,0.000195155
32,9282.82,1.58957,5.53565,2.5122,0.47366,0.39443,0.34758,0.1475,2.24839,9.40814,3.71391,0.000194829,0.000194829,0.000194829
33,9564.13,1.57138,5.48765,2.48921,0.55398,0.40731,0.37838,0.15557,2.23966,9.58503,3.66476,0.000194493,0.000194493,0.000194493
34,9845.09,1.56456,5.42023,2.47321,0.63299,0.38926,0.36366,0.15299,2.26271,13.4283,3.73668,0.000194147,0.000194147,0.000194147
35,10124.4,1.56525,5.34618,2.4846,0.58273,0.40717,0.39068,0.17163,2.22789,9.30978,3.70583,0.000193791,0.000193791,0.000193791
36,10404.8,1.5662,5.32565,2.4624,0.60924,0.40706,0.38614,0.16794,2.26225,12.5797,3.76123,0.000193424,0.000193424,0.000193424
37,10692.8,1.54476,5.20833,2.47105,0.55428,0.42157,0.38104,0.17379,2.25612,12.676,3.73601,0.000193048,0.000193048,0.000193048
38,10978.3,1.54219,5.1962,2.43092,0.55182,0.40041,0.36074,0.16484,2.22492,12.2928,3.6837,0.000192661,0.000192661,0.000192661
39,11263.6,1.5295,5.03766,2.42625,0.5552,0.3925,0.33511,0.15345,2.20283,11.8597,3.66683,0.000192264,0.000192264,0.000192264
40,11547.4,1.5303,5.09924,2.44429,0.46356,0.40403,0.36481,0.16904,2.22401,12.4539,3.7239,0.000191858,0.000191858,0.000191858
41,11833.8,1.49868,5.00312,2.40698,0.5211,0.41232,0.35065,0.16222,2.21792,10.2998,3.74382,0.000191441,0.000191441,0.000191441
42,12187,1.51667,4.9274,2.42321,0.56913,0.39989,0.35792,0.16536,2.20163,10.6981,3.69638,0.000191014,0.000191014,0.000191014
43,12568.2,1.50217,4.86743,2.40073,0.57545,0.40567,0.33935,0.15179,2.23093,11.7968,3.71934,0.000190578,0.000190578,0.000190578
44,12955.2,1.50272,4.80072,2.39632,0.53416,0.4128,0.351,0.15606,2.21441,11.0389,3.6904,0.000190132,0.000190132,0.000190132
45,13320.9,1.49434,4.85862,2.38928,0.52208,0.40815,0.35848,0.16679,2.18341,9.97701,3.6676,0.000189675,0.000189675,0.000189675
46,13726.6,1.47067,4.79506,2.36296,0.55326,0.41278,0.37152,0.17336,2.20431,10.8534,3.72882,0.00018921,0.00018921,0.00018921
47,14136.3,1.46959,4.70178,2.3677,0.48269,0.42284,0.37706,0.1772,2.21101,12.2331,3.78421,0.000188734,0.000188734,0.000188734
48,14551.7,1.47037,4.69703,2.35264,0.45343,0.42603,0.38921,0.18322,2.19778,14.1166,3.71746,0.000188249,0.000188249,0.000188249
49,14962.8,1.46456,4.69437,2.37343,0.58399,0.42517,0.39033,0.18236,2.19194,10.7268,3.72652,0.000187754,0.000187754,0.000187754
50,15387.4,1.45514,4.53961,2.34851,0.55661,0.40226,0.39764,0.19219,2.17793,9.91259,3.67317,0.00018725,0.00018725,0.00018725
51,15799.7,1.44963,4.60145,2.33567,0.537,0.38553,0.38476,0.18597,2.1827,10.0986,3.74722,0.000186737,0.000186737,0.000186737
52,16201,1.43956,4.50943,2.32279,0.49045,0.41076,0.38227,0.18263,2.17547,9.34706,3.72031,0.000186213,0.000186213,0.000186213
53,16688.4,1.45526,4.51024,2.34304,0.44509,0.43211,0.37814,0.18213,2.17556,9.31196,3.72718,0.000185681,0.000185681,0.000185681
54,17167.2,1.43459,4.4742,2.32615,0.46364,0.43087,0.37635,0.17585,2.18543,8.22928,3.76492,0.000185139,0.000185139,0.000185139
55,17634.1,1.42861,4.34189,2.31961,0.45731,0.42294,0.37975,0.17675,2.18164,8.26722,3.76374,0.000184588,0.000184588,0.000184588
56,18081,1.4177,4.43986,2.30391,0.48251,0.4139,0.38209,0.17919,2.19007,8.23292,3.79525,0.000184028,0.000184028,0.000184028
57,18488.4,1.41816,4.36494,2.30908,0.44012,0.43883,0.39555,0.18582,2.19273,8.05387,3.81864,0.000183459,0.000183459,0.000183459
58,18871.6,1.42428,4.29335,2.30901,0.50479,0.43461,0.42117,0.19651,2.17961,8.26954,3.84599,0.000182881,0.000182881,0.000182881
59,19261.7,1.41348,4.27881,2.29857,0.46928,0.44221,0.41133,0.19103,2.15933,8.83306,3.82847,0.000182294,0.000182294,0.000182294
60,19679.4,1.41274,4.32914,2.3099,0.49812,0.46279,0.42548,0.1998,2.15987,8.52222,3.82535,0.000181698,0.000181698,0.000181698
61,20070.5,1.40952,4.29341,2.28565,0.43843,0.46191,0.42588,0.20186,2.15709,8.14277,3.79931,0.000181093,0.000181093,0.000181093
62,20462.7,1.40194,4.14709,2.28762,0.60207,0.44776,0.42539,0.20308,2.16371,8.04329,3.81498,0.000180479,0.000180479,0.000180479
63,20858.4,1.38987,4.15281,2.27534,0.50345,0.46271,0.40866,0.19367,2.16801,8.52431,3.81866,0.000179856,0.000179856,0.000179856
64,21259.8,1.39455,4.11527,2.27119,0.59773,0.46158,0.41469,0.19985,2.18169,9.18155,3.86891,0.000179225,0.000179225,0.000179225
65,21559,1.38379,4.07014,2.27399,0.54032,0.46825,0.41499,0.20068,2.18369,8.62366,3.86293,0.000178586,0.000178586,0.000178586
